raw_stage,agg_stage,target,target_index,rank,feature,alias,coef,category,interpretation
15_to_24,15_to_24,x_mean,1,3,mother_y_adj_xj_minus_xi_pow3,\langle (y_j-m_y)^3\rangle_N,0.001425032278427,adjacent relative displacement/spread,Neighbor position relative to mother; squared terms measure local spread.
15_to_24,15_to_24,x_mean,1,4,mother_y_adj_xj_pow2,\langle y_j^2\rangle_N,0.0649924034849021,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
15_to_24,15_to_24,x_mean,1,5,mother_z_adj_xj,\langle z_j\rangle_N,-0.1717118569831447,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
15_to_24,15_to_24,x_mean,1,6,mother_z_adj_xi_xj,\langle m_zz_j\rangle_N,0.0083023159158116,mother-neighbor coupling,Coupling between mother position and neighbor position; local geometric embedding.
15_to_24,15_to_24,x_mean,1,7,mother_x_adj_xj,\langle x_j\rangle_N,0.5114827443100182,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
15_to_24,15_to_24,x_mean,1,8,mother_2d_couple_xy_xj_minus_xi_pow2,(m_y-m_x)^2,-0.0040491863342432,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,x_half,2,1,mother_y_adj_xj_minus_xi_pow2,\langle (y_j-m_y)^2\rangle_N,0.0287232532473287,adjacent relative displacement/spread,Neighbor position relative to mother; squared terms measure local spread.
15_to_24,15_to_24,x_half,2,2,mother_2d_couple_yz_xj_minus_xi_pow2,(m_z-m_y)^2,0.00530859406849,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,x_half,2,3,mother_y_adj_xj_pow2,\langle y_j^2\rangle_N,0.0779217670631075,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
15_to_24,15_to_24,x_half,2,4,mother_2d_couple_xz_xi_xj,m_xm_z,0.004147820956244,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,x_half,2,5,mother_y_adj_xj,\langle y_j\rangle_N,0.2061340930387713,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
15_to_24,15_to_24,x_half,2,6,mother_x_x,m_x^2,-0.0071786450346795,mother polynomial,Mother-cell coordinate polynomial: global embryo position / low-order positional correction.
15_to_24,15_to_24,x_half,2,7,mother_x_adj_xj_pow2,\langle x_j^2\rangle_N,0.0242071638067732,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
15_to_24,15_to_24,x_half,2,8,mother_2d_couple_xy_xi_xj,m_xm_y,0.0136064843001948,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,y_mean,3,1,mother_y_adj_xj_minus_xi,\langle y_j-m_y\rangle_N,0.4946194277065661,adjacent relative displacement/spread,Neighbor position relative to mother; squared terms measure local spread.
15_to_24,15_to_24,y_mean,3,2,mother_x_adj_xj,\langle x_j\rangle_N,0.1418029169839057,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
15_to_24,15_to_24,y_mean,3,3,mother_2d_couple_xz_xi_xj,m_xm_z,-0.0105468830679572,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,y_mean,3,4,mother_y,m_y,1.6608340342589445,mother polynomial,Mother-cell coordinate polynomial: global embryo position / low-order positional correction.
15_to_24,15_to_24,y_mean,3,5,mother_2d_couple_yz_xj_minus_xi_pow2,(m_z-m_y)^2,-0.0079037546550174,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,y_mean,3,6,mother_2d_couple_yz_xi_xj2,m_ym_z^2,-0.0034928628126377,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,y_mean,3,7,mother_2d_couple_xy_xi2_xj,m_x^2m_y,-0.0011594426168485,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,y_mean,3,8,mother_y_adj_xi_xj,\langle m_yy_j\rangle_N,0.1001318618703283,mother-neighbor coupling,Coupling between mother position and neighbor position; local geometric embedding.
15_to_24,15_to_24,y_half,4,1,mother_x_adj_xi_xj,\langle m_xx_j\rangle_N,0.0132931452213995,mother-neighbor coupling,Coupling between mother position and neighbor position; local geometric embedding.
15_to_24,15_to_24,y_half,4,2,mother_z_adj_xi_xj,\langle m_zz_j\rangle_N,0.0211857809339907,mother-neighbor coupling,Coupling between mother position and neighbor position; local geometric embedding.
15_to_24,15_to_24,y_half,4,3,mother_2d_couple_xz_xi_xj,m_xm_z,0.004057075233083,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,y_half,4,4,mother_2d_couple_xy_xi2_xj,m_x^2m_y,0.0008572442083076,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,y_half,4,5,mother_y_y,m_y^2,-0.0140628818512053,mother polynomial,Mother-cell coordinate polynomial: global embryo position / low-order positional correction.
15_to_24,15_to_24,y_half,4,6,mother_3d_couple_prod_xyz,m_xm_ym_z,0.0016413929976235,mother 3D coupling,High-order 3D positional coupling; nonlinear correction.
15_to_24,15_to_24,y_half,4,7,mother_2d_couple_yz_xi_xj,m_ym_z,0.0085393527670111,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,z_mean,5,1,mother_z,m_z,0.7902505386890086,mother polynomial,Mother-cell coordinate polynomial: global embryo position / low-order positional correction.
15_to_24,15_to_24,z_mean,5,2,mother_2d_couple_xy_xi_xj,m_xm_y,0.01651346385872,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,z_mean,5,3,mother_y,m_y,0.2529843561081277,mother polynomial,Mother-cell coordinate polynomial: global embryo position / low-order positional correction.
15_to_24,15_to_24,z_mean,5,4,mother_z_adj_xj,\langle z_j\rangle_N,0.7703697352028359,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
15_to_24,15_to_24,z_mean,5,5,mother_y_y,m_y^2,0.0321393457205641,mother polynomial,Mother-cell coordinate polynomial: global embryo position / low-order positional correction.
15_to_24,15_to_24,z_mean,5,6,mother_2d_couple_yz_xi2_xj,m_y^2m_z,-0.0051086030934332,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,z_mean,5,7,mother_2d_couple_xy_xj_minus_xi_pow2,(m_y-m_x)^2,-0.0022120554298212,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,z_mean,5,8,mother_2d_couple_xz_xi_xj,m_xm_z,-0.004693794266567,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,z_half,6,1,mother_x_adj_xj_pow2,\langle x_j^2\rangle_N,0.0018265266150315,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
15_to_24,15_to_24,z_half,6,2,mother_2d_couple_xz_xj_minus_xi_pow2,(m_z-m_x)^2,0.0019971274833767,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,z_half,6,3,mother_2d_couple_xz_xi_xj2,m_xm_z^2,0.000496342677854,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,z_half,6,4,mother_x_x_x,m_x^3,9.938734815018636e-05,mother polynomial,Mother-cell coordinate polynomial: global embryo position / low-order positional correction.
15_to_24,15_to_24,z_half,6,5,mother_2d_couple_xy_xj_minus_xi_pow2,(m_y-m_x)^2,0.0025603271544774,mother 2D coupling,Coupling between two mother-coordinate axes; plane-level geometry.
15_to_24,15_to_24,z_half,6,6,mother_y_adj_xj_pow2,\langle y_j^2\rangle_N,0.0350019673001447,adjacent raw moment,Contact-weighted neighbor raw moment: local neighbor position or scale.
